epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13742.7,0.6638,1.15066,1.09528,0.72691,0.72114,0.77771,0.67193,0.54077,0.94333,1.05954,0.005842,0.005842,0.005842
44,14080.6,0.6661,1.12831,1.1063,0.74972,0.72691,0.78821,0.6789,0.54315,0.90582,1.06041,0.005743,0.005743,0.005743
45,14398.5,0.66492,1.11136,1.09882,0.73836,0.73359,0.78928,0.67892,0.54361,0.9151,1.06226,0.005644,0.005644,0.005644
46,14723.1,0.66034,1.10414,1.09737,0.73884,0.74677,0.79043,0.68271,0.54119,0.90384,1.0586,0.005545,0.005545,0.005545
47,15042.4,0.65237,1.07856,1.08848,0.76063,0.72499,0.7945,0.68531,0.54006,0.89898,1.05556,0.005446,0.005446,0.005446
48,15364.2,0.64858,1.05128,1.09081,0.75105,0.74639,0.79558,0.68899,0.53356,0.89369,1.05263,0.005347,0.005347,0.005347
49,15684.8,0.6543,1.05071,1.09359,0.75385,0.74643,0.79803,0.69013,0.53387,0.88637,1.05363,0.005248,0.005248,0.005248
50,16008.6,0.64725,1.05491,1.0901,0.76892,0.75098,0.80713,0.69848,0.53065,0.8557,1.04718,0.005149,0.005149,0.005149
51,16334.3,0.64701,1.03202,1.0883,0.7531,0.74947,0.79891,0.69242,0.53212,0.87208,1.05468,0.00505,0.00505,0.00505
52,16658.9,0.63926,1.01187,1.08767,0.77552,0.73125,0.80083,0.69367,0.53191,0.86877,1.05115,0.004951,0.004951,0.004951
53,16983,0.64073,0.98712,1.08422,0.77935,0.7473,0.81085,0.70525,0.52609,0.84519,1.04952,0.004852,0.004852,0.004852
54,17310.2,0.63696,0.98125,1.08488,0.76195,0.73538,0.79682,0.69554,0.52459,0.87217,1.04495,0.004753,0.004753,0.004753
55,17627.7,0.63382,0.98322,1.08364,0.75641,0.75412,0.80402,0.70037,0.52532,0.86513,1.04622,0.004654,0.004654,0.004654
56,17941.7,0.63231,0.96234,1.08047,0.77664,0.74247,0.80571,0.70111,0.52296,0.85362,1.04384,0.004555,0.004555,0.004555
57,18261.5,0.63022,0.95452,1.08274,0.75728,0.75539,0.80493,0.69975,0.52266,0.85633,1.04073,0.004456,0.004456,0.004456
58,18578.5,0.62443,0.93897,1.07472,0.77306,0.74959,0.81069,0.70669,0.52225,0.84029,1.04416,0.004357,0.004357,0.004357
59,18895.4,0.61697,0.92495,1.07356,0.77176,0.7734,0.81774,0.70991,0.52639,0.81883,1.0496,0.004258,0.004258,0.004258
60,19209.6,0.6243,0.91016,1.07839,0.76883,0.76024,0.80986,0.70599,0.52291,0.84474,1.04559,0.004159,0.004159,0.004159
61,19532.6,0.61913,0.91464,1.075,0.77268,0.76004,0.81047,0.7051,0.52521,0.83665,1.04413,0.00406,0.00406,0.00406
62,19854.4,0.60602,0.89174,1.06744,0.77866,0.75525,0.81443,0.70945,0.52077,0.8295,1.03684,0.003961,0.003961,0.003961
63,20172.1,0.60759,0.86889,1.06989,0.78938,0.7449,0.81149,0.70844,0.52155,0.82996,1.04186,0.003862,0.003862,0.003862
64,20483.8,0.60201,0.87379,1.06562,0.79387,0.75885,0.8145,0.71241,0.51419,0.82305,1.0399,0.003763,0.003763,0.003763
65,20797.2,0.59146,0.8552,1.05575,0.78134,0.76338,0.81418,0.711,0.51649,0.82346,1.04523,0.003664,0.003664,0.003664
66,21113,0.59292,0.86113,1.06183,0.79252,0.7525,0.8146,0.71123,0.51529,0.81896,1.04156,0.003565,0.003565,0.003565
67,21432.7,0.59723,0.85967,1.06262,0.79072,0.76237,0.81824,0.71589,0.51518,0.809,1.04031,0.003466,0.003466,0.003466
68,21759.3,0.59126,0.8315,1.06097,0.78747,0.75684,0.81528,0.71299,0.51594,0.82108,1.04,0.003367,0.003367,0.003367
69,22076.8,0.58347,0.82611,1.05538,0.79489,0.75354,0.81684,0.71424,0.51548,0.81732,1.03885,0.003268,0.003268,0.003268
70,22400.8,0.57947,0.79748,1.04829,0.80061,0.75619,0.8182,0.71606,0.51139,0.80663,1.03534,0.003169,0.003169,0.003169
71,22722.9,0.58054,0.80424,1.05588,0.78439,0.76491,0.81776,0.71452,0.51534,0.80956,1.04072,0.00307,0.00307,0.00307
72,23041.1,0.57302,0.7902,1.04674,0.78371,0.76828,0.81665,0.71446,0.51183,0.81139,1.0376,0.002971,0.002971,0.002971
73,23360.2,0.57162,0.78958,1.05,0.79281,0.76054,0.81629,0.71417,0.5134,0.81909,1.04111,0.002872,0.002872,0.002872
74,23685.1,0.5673,0.77379,1.05041,0.78562,0.76187,0.81511,0.71386,0.51292,0.82052,1.03891,0.002773,0.002773,0.002773
